idContrato,codigo_contratacion,estado,objeto_contratacion,entidad,ruc_entidad,departamento,provincia,distrito,fecha_publicacion,fecha_vencimiento,tiempo_restante_texto,moneda,monto_referencial,descripcion,enlace_publico,enlace_requerimiento,requerimiento_consultado,fecha_ultima_actualizacion,fecha_vencimiento_raw
95470,CM-890-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T19:48:14-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE ACIDO FUSIDICO 2 G/100 G (2%) CRM 15G, SULFADIAZINA DE PLATA - 1 G/100 G - CRM - 50 G, SULFADIAZINA DE PLATA 1% X 400G (EXP. 20114)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95470,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379013,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95453,CM-889-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T19:40:39-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE SUTURA NYLON AZUL MONOFILAMENTO 2/0 C/A 1/2 CIRCULO CORTANTE 35 MM X 75 CM, SUTURA NYLON NEGRO MONOFILAMENTO 10/0 C/ DOBLE AGUJA ESPATULADA (EXP. 20098)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95453,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379022,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95466,CM-888-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T19:31:16-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE ATORVASTATINA 20 MG, CARVEDILOL 12.5 MG, CARVEDILOL 6.25 MG, LEFLUNOMIDA 20MG (EXP. 20096)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95466,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378955,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95464,CM-887-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T19:20:01-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,ADQUISICION DE MAGNESIO SULFATO 200 MG/ML INY 10 ML (EXP. 20089),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95464,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378999,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95409,CM-139-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,CUSCO,WANCHAQ,2026-09-17T17:52:00-05:00,2026-09-22T08:00:00-05:00,"4 d, 13 h restantes",,,CONTRATACIÓN DE SERVICIOS ESPECIALIZADOS EN MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS (CAMIONETA 4X4) MARCA NISSAN MODELO NAVARA EGJ-230,https://prod6.seace.gob.pe/buscador-publico/contrataciones/95409,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378842,1,2026-09-17T18:32:47-05:00,22/09/2026 08:00:00
95432,CM-138-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,CUSCO,WANCHAQ,2026-09-17T17:48:38-05:00,2026-09-22T08:00:00-05:00,"4 d, 13 h restantes",,,CONTRATACIÓN DE SERVICIOS ESPECIALIZADOS EN MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS (CAMIONETA 4X4) MARCA NISSAN MODELO NAVARA EGJ-323,https://prod6.seace.gob.pe/buscador-publico/contrataciones/95432,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378858,1,2026-09-17T18:32:47-05:00,22/09/2026 08:00:00
95431,CM-137-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,CUSCO,WANCHAQ,2026-09-17T17:45:30-05:00,2026-09-22T08:00:00-05:00,"4 d, 13 h restantes",,,CONTRATACIÓN DE SERVICIOS ESPECIALIZADOS EN MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS (CAMIONETA 4X4) MARCA NISSAN MODELO NAVARA EGS-481,https://prod6.seace.gob.pe/buscador-publico/contrataciones/95431,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378837,1,2026-09-17T18:32:47-05:00,22/09/2026 08:00:00
95430,CM-136-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,CUSCO,WANCHAQ,2026-09-17T17:42:27-05:00,2026-09-22T08:00:00-05:00,"4 d, 13 h restantes",,,CONTRATACIÓN DE SERVICIOS ESPECIALIZADOS EN MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS (CAMIONETA 4X4) MARCA NISSAN MODELO NAVARA EGJ-316,https://prod6.seace.gob.pe/buscador-publico/contrataciones/95430,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378833,1,2026-09-17T18:32:47-05:00,22/09/2026 08:00:00
95420,CM-135-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,ESPINAR,ESPINAR,2026-09-17T17:25:59-05:00,2026-09-21T08:00:00-05:00,"3 d, 13 h restantes",,,"SERVICIO DE ALQUILER DE CAMPAMENTO PARA OFICINA, MAQUINARIAS Y VEHÍCULOS, PARA EL MANTENIMIENTO DE LA RED VIAL NO PAVIMENTADA DE LA CARRETERA EMP. PE-3SG (YAURI) ¿ QUELLO ¿ EMP. PE-3SK (DV. TINTAYA), ÁMBITO MULTIDISTRITAL Y MULTIPROVINCIAL, DEPARTAMENTO DE CUSCO.",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95420,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378780,1,2026-09-17T18:32:47-05:00,21/09/2026 08:00:00
95371,CM-134-2026-UZCUS,Vigente,Servicio,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),,CUSCO,CUSCO,WANCHAQ,2026-09-17T17:05:17-05:00,2026-09-21T08:00:00-05:00,"3 d, 13 h restantes",,,"SERVICIO DE ALQUILER DE CAMPAMENTO ALMACEN, PARA LA ATENCION DEL MANTENIMIENTO  RUTINARIO DE LA RED VIAL PAVIMENTADA CARRETERA EL DESCANSO - YANAOCA - COMBAPATA; MULTIDISTRITAL, MULTIPROV, CUSCO.",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95371,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378696,1,2026-09-17T18:32:47-05:00,21/09/2026 08:00:00
